year,Location,Cases,,,
2024,Alabama,0,,,
2024,Alaska,0,,,
2024,Arkansas,0,,, 
2024,Colorado,0,,,
2024,Connecticut,0,,,
2024,Delaware,0,,,
2024,Hawaii,0,,,
2024,Iowa,0,,,
2024,Kansas,0,,,
2024,Kentucky,0,,,
2024,Maine,0,,,
2024,Mississippi,0,,,
2024,Montana,0,,,
2024,Nebraska,0,,,
2024,Nevada,0,,,
2024,North Dakota,0,,,
2024,Rhode Island,0,,,
2024,Utah,0,,,
2024,Wyoming,0,,,
2024,California,10-49,,,
2024,Florida,10-49,,,
2024,New York City,10-49,,,
2024,Oregon,10-49,,,
2024,District Of Columbia,1-9,,,
2024,Georgia,1-9,,,
2024,Idaho,1-9,,,
2024,Indiana,1-9,,,
2024,Louisiana,1-9,,,
2024,Maryland,1-9,,,
2024,Massachusetts,1-9,,,
2024,Michigan,1-9,,,
2024,Missouri,1-9,,,
2024,New Hampshire,1-9,,,
2024,New Jersey,1-9,,,
2024,New Mexico,1-9,,,
2024,New York,1-9,,,
2024,North Carolina,1-9,,,
2024,Ohio,1-9,,,
2024,Oklahoma,1-9,,,
2024,Pennsylvania,1-9,,,
2024,South Carolina,1-9,,,
2024,South Dakota,1-9,,,
2024,Tennessee,1-9,,,
2024,Texas,1-9,,,
2024,Vermont,1-9,,,
2024,Virginia,1-9,,,
2024,Washington,1-9,,,
2024,West Virginia,1-9,,,
2024,Wisconsin,1-9,,,
2024,Arizona,1-9,,,
2024,Illinois,50-99,,,
2024,Minnesota,50-99,,,
